a <unk> <unk> <unk> and scissors to cut food at a table .,1,176841
a baseball player in a <unk> <unk> wearing a <unk> .,1,21470
a group of <unk> standing <unk> <unk> on a sidewalk next to a blue and red wall .,1,99179
<unk> young <unk> playing soccer on the field .,0,74462
a <unk> two <unk> and a brown and black dog,0,439774
a baseball player is swinging a bat at a ball while the <unk> <unk> to catch it .,0,359540
little <unk> baseball player at the plate with <unk> catching the ball,0,43657
a frisbee <unk> <unk> <unk> to a <unk> 's <unk> in <unk>,0,306636
a <unk> in a pink shirt <unk> <unk> into the <unk> in front of an <unk> street,1,213276
two young children are brushing their teeth in the bathroom mirror .,0,179251
<unk> of bananas are <unk> on a <unk> .,1,188752
a couple <unk> wearing a wedding dress the other with orange <unk> hair wearing a black suit cut a cake .,0,40729
young <unk> <unk> eating <unk> <unk> pizza with a <unk> .,0,301282
a baseball player up at bat with the <unk> <unk> <unk> .,1,78707
a <unk> <unk> while holding a pot and <unk> .,0,410627
a <unk> is <unk> <unk> fruit at a fruit stand .,1,191078
a <unk> tennis player <unk> up <unk> skirt,0,261535
small <unk> with a bow tie on sitting down on a bus .,1,435562
a <unk> <unk> while on a tennis court .,1,563575
a young <unk> working in a camera <unk> <unk> <unk>,0,386707
a small group of people standing in a red and white room,0,448076
baseball <unk> playing a game <unk> a crowd .,1,237487
a young <unk> <unk> in a chair with <unk> stuffed animals .,0,275268
a person flying a kite near a tree,0,245453
a <unk> young <unk> riding a surfboard on a wave in the ocean .,1,278967
<unk> <unk> riding their bikes on the side of the road .,1,75001
a <unk> wearing a head <unk> talking on a cell phone .,1,416730
a bunch of <unk> playing baseball in a <unk> open field .,1,91052
a young <unk> holding a <unk> <unk> carrot up in the air .,0,276055
two <unk> tennis <unk> <unk> around the court .,1,411840
a <unk> is holding a back ready to <unk> <unk> another <unk> <unk> <unk> <unk> to catch the ball .,1,452201
an <unk> couple is playing a video game .,0,459034
a couple of <unk> standing in front of a table near a laptop computer .,0,485909
a <unk> standing while holding the cell phone in <unk> hand up to <unk> ear .,1,423358
a <unk> throwing a frisbee on a field with <unk> playing .,0,507663
a <unk> skateboards down an <unk> street with <unk> .,1,523696
a group of people <unk> at <unk> <unk> .,1,253455
a <unk> <unk> a baseball bat <unk> the <unk> <unk> to catch the ball .,1,8065
a <unk> <unk> a knife <unk> <unk> <unk> food on the counter .,1,75527
the <unk> are playing a game of frisbee on the grass .,0,294958
a <unk> that <unk> a tennis racket in <unk> hand,1,273760
a <unk> little <unk> standing in front of a basket of fruit .,1,22816
a dog <unk> on the sidewalk while a <unk> <unk> at <unk> cellphone .,0,430867
a <unk> in the grass with a frisbee .,0,169648
<unk> <unk> out the water with <unk> arms <unk> <unk> <unk> the surfboard,0,376449
a <unk> with <unk> <unk> <unk> pulling a <unk>,0,248242
two <unk> <unk> for a picture <unk> the fence,0,376456
a <unk> in a suit <unk> near a table with computer <unk> on it .,0,9483
a <unk> is taking a <unk> out of a sandwich .,1,335532
an <unk> <unk> in <unk> <unk> sitting with a <unk> cow .,1,193622
a <unk> eating a sandwich in <unk> at a <unk> <unk> .,0,23893
a <unk> holding a black and white umbrella .,1,232563
a <unk> wearing <unk> orange on a court holding a tennis racket .,1,39480
